topic,sentiment
great,2
use,1
delivery,2
just,0
amazon,0
way,1
page,0
change,1
order,2
time,1
delivery,2
freezing saying,1
buy,2
use,1
don,1
work pixel,2
use,0
order,2
love amazon,2
don,0
orders,1
amazon,2
update,1
need,1
don,1
search,0
search,1
shopping,1
use,0
amazon,1
order,0
keeps,0
products,2
items,2
just,1
amazon,1
orders,0
want,1
don,2
shopping amazon,2
search,0
update,1
don,2
search,1
shopping,0
items,1
time,1
way,1
way,1
products,2
prime,0
items,1
card,0
orders,1
want,1
days,0
prime,2
stated tell site,1
don,1
need,1
good,2
use,1
just,0
ve,0
search bar silliest,2
like,0
shopping,2
days,0
app,1
prime,2
use,1
easy,2
don,0
want,0
update,1
things,2
service,2
phone,1
fix,1
just,0
like,1
phone,0
shopping,1
prices,2
products,2
like,2
use,2
products,1
products,1
shopping,0
don,2
time,0
don,1
use,0
service,0
love,2
really,2
items,2
don,0
app,2
time,2
search,1
prime,0
fast efficient,2
page,0
service,0
like,1
delivery,0
customer,0
use,1
shopping,2
good,1
want,2
don,1
item,0
don,0
easy,2
want,0
love,2
phone,0
phone,1
great,1
items,2
day,1
pain getting,1
time,0
need,2
good,2
items,1
app,2
service,2
phone,1
amazon,1
great,1
want,0
change,1
shopping,0
customer,0
make,1
orders,1
order,2
things,1
good,2
fix,1
want,1
amazon,2
order,2
pinnings,1
want,1
service,0
shopping,0
account,0
items,0
great,1
delivery,0
update,0
products,1
items,2
fix,1
customer,0
app,2
amazon,2
orders,1
love amazon,2
does dark mode,1
delivery,2
order,0
keeps,0
prime,0
phone,0
order,1
amazon,0
easy,2
good,1
love amazon,2
search,1
log orders overseas,2
new,0
love,2
order,1
investment,2
card,0
need,2
app keeps crashing,0
account,1
like,0
need,2
time,0
need,2
new,0
items,1
amazon,1
amazon,0
bb,1
delivery,1
order,1
money,0
really,2
don,2
search,1
delivery,0
amazon,1
app,2
search,0
days,0
stock know does,2
prime,1
use,0
things,1
want,1
search,0
like,2
amazon,0
like,2
time,0
just,1
use,1
items,2
want,2
ok lots,2
update,0
items,1
sun america best,2
update,1
products,1
like,2
items,2
items,1
amazon,1
things,2
keeps,0
shopping,1
make,1
customer,0
just,0
shopping,1
shopping,0
long life earnings,1
don,1
app,2
just,0
love,2
account,0
app,1
issues example,0
change,1
shopping,1
use,2
products,1
fix,1
version view archived,2
orders,0
prime,2
movies prime wait,1
prime,0
order,1
use,0
customer,2
search,0
great,1
want,2
app,2
way,1
phone,2
need,2
update,1
time,1
app,1
update,0
prime,0
prime,0
keeps,0
tracking,0
prime,0
don,0
information easy,2
need,1
phone,1
orders,0
samsung tablets removing,0
order,2
like,0
fix,1
right ve looked,2
items,1
make,1
real good,0
love easy good,2
time,2
amazon,0
don,1
glitches constantly needs,2
money,0
use,1
fix,1
order,0
easy,2
items,1
keeps,0
items,2
day,1
use,2
poor,0
app,1
days,0
prime,2
make,1
products,2
prices,2
delivery,1
phone,0
amazon,0
time,2
want,1
shopping,1
good,2
really,1
need,2
material thanks,2
shopping,0
change,1
menus great easy,2
change,1
just,2
order,2
customer,2
like,0
prices,2
amazon,1
want,1
easy,2
like,1
service,2
shopping,2
preferred language,0
make,1
great,2
amazon,0
use,2
don,1
search,0
want,0
delivery,2
search,0
things,2
delivery,2
good,2
delivery,0
delivery,1
shop,2
need,1
great,2
keeps,0
amazon,2
good,2
just,0
account,0
order,2
shopping amazon,2
item,0
items,2
don,0
amazon,2
products,2
good,2
amazon,2
don,0
use,2
good,1
time,0
shopping,0
inconsistent day,2
amazon,2
delivery,0
phone,1
service,2
ve,0
just,1
account,1
items,0
prime,0
prime,0
app,2
orders,1
just,1
want,0
orders,0
item,0
time,1
like,1
time,0
like,2
just,1
easy,2
reasonable price want,2
use,2
really,2
time,2
don,0
shop,2
like,2
orders,0
don,1
use,2
items,1
really want absolutely,0
good,2
ve,0
time,1
shop,2
don,1
severely lagging,2
update,1
don,1
days,0
things,2
app,1
good,1
don,1
fix,0
time,1
want,2
like,2
want,2
need,2
buy,1
past years used,0
light sensitivity make,2
good app purpose,2
update,0
items,1
buy,1
amazon,1
time,1
payment methods terrible,0
shopping,0
want,0
prime,2
freezing pain,1
new,0
search,1
account,0
phone,2
products horrible,0
don,2
prime,2
delivery,0
use,0
service,2
amazon,2
shopping,1
keeps,0
time,2
don,0
need,1
items,1
orders,0
app,1
item,0
app,0
love,2
orders,1
delivery,0
item,0
use,2
shopping,1
items,2
orders,1
orders,1
shopping,2
time picking car,1
buy,1
zero amazon really,0
time,1
products,1
prime,2
good,1
products,1
days,0
phone,0
just,2
order,0
like,2
just,2
cc bb,1
easy,2
love,2
time,0
ve,0
shopping amazon,2
like,1
order,2
page,0
good,1
time,1
order online,2
items,0
delivery,2
orders,0
don,2
account,1
shopping amazon,2
fix,1
items,1
amazon,2
shopping,2
search,1
time,1
use,1
phone,1
use,0
great good app,2
terrible problem keeps,0
amazon,2
like,0
make,1
prime,2
update,1
account,0
issue just love,2
great,2
shop,2
like,2
love amazon,2
really,2
great,2
app,1
shopping,0
use,0
fix,1
business peeps lower,2
orders,1
ve,0
page,1
order,1
great,1
love amazon,2
service,2
service,0
app,1
account,0
smile mean ve,2
prime,2
prime,0
just,0
delivery,2
really,1
search,0
don,2
just,1
search,1
day,1
just,0
time,2
update,1
new,0
love,2
shopping,1
items,0
easy,2
prime,0
update,0
way,1
keeps,0
don,0
service,2
app,0
want,2
dark,2
amazon,0
just,1
want,0
want,0
days,0
order,1
fix,1
good,1
order,0
email ok,2
fix,1
prime,1
need,2
smartphones like tab,2
order,1
free convenient shopping,2
app purpose competitive,2
search dumb search,1
does,2
service,0
things,2
shop,2
don,1
great amazon service,2
need,2
really,2
little confusing use,1
orders,1
want,0
buy,1
app,2
time,0
use,1
years love,2
update,1
good,1
good,1
want,0
jesus,2
language regions randomly,1
great,2
time,2
things,1
update,0
time,2
item,0
don,1
love,2
service,0
service,0
delivery,0
day,1
shopping,0
shopping,2
good,1
showing star,1
items,1
works freezes,1
day,1
phone,2
good,2
delivery,2
items,1
amazon,1
use,2
order,0
search,0
want,0
keeps,0
buy,1
amazon,1
experience good,2
order,0
love,2
want,0
account,1
prime,2
want,1
ve,0
shopping,0
app,2
time,0
just,0
don,2
use,1
use,1
functionality poor,0
phone,0
want,1
prime,2
items,0
easy,2
time,1
new,0
just,0
delivery,1
prime,0
just,1
update,0
time,1
just,2
opinions,2
shopping,1
use,2
love,2
shop,2
search,1
loading,2
shop,2
customer,0
delivery,2
service,2
need,1
don,1
delivery,1
items,0
items,1
items,0
sharing information,1
fix,1
time,0
order,0
shopping,1
fulfillment center,0
prime,2
time,0
just,2
update,0
update,0
app,0
just,1
phone,1
time,1
day,1
like,2
prime,0
shopping,1
keeps,0
items,0
good,1
like,0
prime,2
page,1
want,0
want,0
orders,0
love amazon,2
amazon,1
time,2
don,1
amazon,1
use,2
amazon,2
just,2
app,1
love gets,2
like,1
good,1
app,1
good,1
love,2
shop,2
like,1
don,2
prime,0
want,0
new,0
want,0
use,0
page,0
things,1
search,1
shop,2
shopping,1
prime,1
like,0
need,1
things easy download,2
use,1
new,0
just,2
orders,0
really,2
page,0
prime,0
like,0
late quoted day,2
like,0
shop,2
money,0
delivery,1
customer,0
app,2
really,1
app,1
shopping,2
originally ordered read,1
make dark mode,2
shopping,2
shopping,2
search,0
change,1
orders,0
day,1
like,0
search,1
good,2
love looking prompt,2
items,2
amazon,2
update,0
orders,0
really,1
don,0
order,0
want,0
like,1
update,1
amazon,1
need,2
read,0
update,0
products,1
delivery,0
page,0
just great,2
app,2
order,2
prices deluding,0
like,2
items,0
days,0
shopping,0
great,1
use,2
great,2
just,1
keeps,0
prime,0
hope dark,2
account,1
item,0
use,2
ve,0
prime,1
amazon,1
star adding bs,0
prices,2
shop,2
like,0
amazon,0
items,1
ve,0
just,2
ve,0
customer,0
item,0
constant buffering crashing,0
order stars,2
phone,1
item,0
hh,1
page,1
shopping,1
like,2
update,1
don,1
things,2
just,2
amazon,2
update,0
want hear music,1
buy,1
really,2
like,0
payment lies,0
customer,0
order,1
shopping,2
use,0
shopping,1
app,2
use,1
phone,1
need,2
page,1
time,1
just,2
let going arrive,2
app,2
card,0
items,2
shopping,0
account,1
amazon,0
delivery,0
use,0
items,2
items,1
shopping,1
delivery,0
service,0
app,2
ve,0
prime,0
good,2
saying internal,0
love,2
old,1
like,0
really,1
shopping,0
orders,1
just,0
orders,1
app,2
love,2
amazon,2
app,1
update,1
order,1
update,0
days,0
money,0
time,2
app,1
love,2
order,2
shop,2
amazon,1
items,2
use,1
phone,2
customer,0
days,0
customer,0
delivery,2
app,1
phone,0
items,2
ve,0
prime,1
buy,1
need,2
just,2
love amazon,2
buy,2
good,2
account,1
like,1
supporting dark,1
order,2
prime,2
love,2
time,0
amazon,0
app,1
search,0
buy,2
amazon,1
print place,1
prime,1
love,2
app,0
time,2
really,2
amazon,1
items,1
need,2
search,1
days,0
prime,0
service,0
page,0
fix,1
updates,2
prime,0
don,1
supporting,1
shopping amazon,2
great,1
search,0
like,2
service,2
bar fan search,2
update,1
prime,1
update,1
search,1
seizes reason,0
things,1
easy,2
need,1
use,2
shopping,2
want,0
want,1
items,2
amazon,2
money,0
service,0
shopping,0
prime,0
customer,2
want,2
want,2
account,1
amazon,1
want,1
service,0
use,1
update,1
items,2
just,0
update,1
install version view,2
order,0
love amazon,2
time,1
amazon,1
use,0
don,0
easy,2
update,0
shopping,0
service,2
items,2
amazon,2
shopping,1
order,0
app,2
great,1
don,1
use,0
new,0
good,1
shopping amazon,2
use,2
want,2
app,1
phone,2
amazon,0
account,0
convenience fast delivery,2
keeps,0
want,1
app,2
items,2
wont launch haven,1
use,1
easy,2
phone,0
need,2
update,0
don,0
delivery,2
app,0
door good prices,2
update,1
products,2
like,2
like,0
shopping amazon,2
amazon,1
use,1
update,1
love amazon,2
items,1
fix,1
things,1
love amazon,2
prime,0
great,2
search,0
slow update app,2
amazon,2
item,0
delivery,1
use,0
msfgw ea,2
orders,0
card,0
things,1
delivery,2
order,2
orders,1
account,1
love amazon,2
item,0
item,0
just,0
amazon,0
just,2
update,1
buy,2
amazon,2
items,1
just,1
prime,2
order,0
prime,0
service,2
shopping,0
prime,0
phone,2
use,2
love amazon,2
amazon,1
don,2
just,1
make,1
time,0
products,1
good,1
don,0
time,1
love,2
need,2
good,1
ewè,1
don,0
time,2
ic receive delivery,2
like,2
time,0
delivery,1
shopping,0
phone,0
amazon,1
amazon,2
service,2
order,2
order,1
fix,1
amazon,0
account,0
time,2
great,1
update,0
card,0
days,0
items,2
prime,2
time,1
shopping,1
money,0
really,2
just,1
unsurprisingly shopping app,1
delivery,0
need,2
delivery,0
shop,2
just,0
just,2
shopping amazon,2
ve,0
update,1
need,1
order,2
delivery,0
ve,0
phone,0
delivery,0
shopping,2
day,1
like,1
time,0
need,2
amazon,2
use,0
orders,1
money packages sent,0
app,2
need,2
need,2
don,1
love amazon,2
piss poor app,0
shopping,0
use,1
app,2
page,1
use,1
account,1
fix,1
easy,2
issue acting used,0
easy,2
language stuck,1
service,2
good,2
like,2
time,1
good,2
update,0
things,2
phone,2
love amazon,2
shop,2
works places line,1
want,0
things,1
phone,2
want,0
app,0
don,1
lover planted chain,2
phone,1
delivery,0
prime,0
order,0
days,0
just,0
shopping,0
search,0
good,2
delivery instructions,1
service,0
page,1
prime,2
shop,2
use,0
good,2
orders,1
app,2
good,1
prime worthless,1
don,0
search,1
like,1
like,0
really,2
service,2
like,0
delivery,2
just,0
app,2
amazon,0
prices,2
search,1
order,1
want,0
app,2
time,0
service,2
don,0
update,0
page,0
app,1
use,2
way,1
need,2
fix,0
items,1
service,0
prices,2
account,1
don,2
prime,0
orders,0
phone,0
service,2
customer,2
products,1
search,0
orders,1
order,1
love amazon,2
easy,2
time,2
just,0
easy,2
easy,2
delivery,2
shopping amazon,2
don,0
need,1
2023 add,1
products,2
slow pretty,1
want,0
change,1
days,0
items,2
customer,0
use,2
customer,2
good,1
app,1
making shopping easy,2
phone,2
use,0
money,0
account,1
need,2
time,0
orders,0
new,0
great,2
items,1
time,0
good,2
prime,1
update,0
search,0
day,1
good,1
phone,0
good,1
buy,1
great,2
time,1
need,1
item,0
money,0
change,1
time,0
page,1
days,0
item,0
order,2
oftentimes account gets,0
change,1
page,1
delivery,1
products,1
customer,0
need,1
time,1
like,2
like,0
order,1
shopping,0
items,2
use,1
need english stay,1
items,1
app,0
time,1
app,1
use,1
convenient shopping experience,2
just,0
time,1
things,2
want,1
just,1
items,0
items,0
know exactly want,2
increased traffic,1
verve cards tried,1
amazon,0
items,1
items,1
good,2
search,0
prime,2
app,0
orders,1
like,0
orders,0
good,2
days,0
just,2
order,2
order,1
buy,2
phone,1
customer,0
way,1
keeps,0
just,0
items,0
phone,1
orders,1
easy,2
order,2
update,1
delivery,0
items,2
need,1
love,2
change,1
app,2
keeps,0
update,0
fix,1
like,2
prime,1
search,0
steal customers money,0
customer,0
phone,1
prices,2
order,1
need,2
inconsistencies delivery,1
orders,0
order,1
account,0
search,1
buy,2
good,1
just,1
don,1
just,0
love amazon,2
delivery,0
delivery,2
want,1
shop,2
shopping amazon,2
prices,2
shopping,0
need,1
time,2
like,0
great,2
white color light,1
great,1
phone,0
don,2
customer,0
days,0
app,1
bar silliest update,2
items,2
good,2
way,1
time,0
use,0
use,1
order,0
orders,1
great,1
use,0
items,0
prime,1
search,1
service,2
just,1
want,1
shopping,2
easy,2
use,2
easy,2
update,0
order,2
prime,2
section longer,0
money,0
like,0
days,0
order,0
order,1
item,0
prime,0
need,1
slow bad loading,1
order,2
great,2
good,1
just,2
like,2
amazon,2
great,2
page,0
customer,0
app,2
phone,0
local resources useful,2
items,2
really,1
amazon,0
service,2
good,2
orders,0
use,0
search,0
really,2
shopping,1
shop,2
shopping amazon,2
option able,1
account,0
prime,2
app,0
don,2
orders,0
account,1
phone,0
amazon,2
passwords like,1
time,0
items,0
delivery,0
app,0
don,0
use,0
shop,2
update,1
account,1
search,0
use,2
shop,2
customer,0
fix,1
app,1
app,1
new,0
days,0
prime,0
just,0
prime,1
order,0
extremely hard bad,0
page,0
good,2
amazon,0
prime,0
search,0
shopping,2
page,1
love amazon,2
buy,2
item,0
time,2
want,2
shopping,1
update,1
update,1
phone,2
time,0
phone,2
item,0
change,1
don,0
orders,0
products,2
buy,1
keeps,0
time,1
app,0
buy,2
orders,1
change,1
ve,0
want,1
prime,1
price super convenient,2
use,2
favorite store lol,2
keeps,0
period escape,0
app,1
just,2
phone,2
looking need time,2
things,1
buy,2
easy look need,2
don,1
just,0
fix,1
buy,2
time,0
prime,0
just,2
items,0
old 87,1
just use,1
good,1
things,1
phone,0
just,1
use,1
time,2
years recently keeps,1
time,2
prime,0
search,0
update,0
items,1
anymore,0
app,2
don,2
phone,0
like,1
issues team rate,2
service,0
good,2
amazon,2
want,1
miss smile,2
just great service,2
like,1
shop,2
shopping,0
delivery,0
phone,2
update,1
orders,0
ve,0
haven problems,2
good,1
good,1
amazon,2
prime,1
amazon,2
delivery,2
really,1
shopping,0
app,1
order,2
items,0
customer,0
service,0
easy,2
want,0
customer,0
like,1
day,1
use,2
use,1
orders,1
app,1
101,0
account,0
way,1
minutes far,2
shopping,0
account,1
new,0
customer,2
love,2
service,0
ve,0
products,1
orders,0
shopping,2
account,0
great stars,2
bit,2
app,0
use,0
experience appreciate,2
delivery,0
time,2
app,0
delivery,1
shop,2
order,0
orders,0
need,1
like,0
things,1
order,1
amazon,2
really,2
don,2
good,1
best good,2
don,0
delivery,1
phone,0
keeps,0
don,1
prime,0
just,1
don,2
fix,1
want,1
phone,0
page,1
things,1
delivery,1
like,0
app delivery fast,2
just,2
prime,0
page,1
month freezing,0
want,1
card,0
like,2
need,2
time,1
shopping,0
prime,1
customer,0
easy,2
order,0
locker pickups egyptian,0
use,1
items,2
amazon,2
need,1
low level good,2
don,0
shopping amazon,2
fix,1
shopping,0
prime,1
like,2
pakistan,1
order,1
sure haven,1
want,0
order,0
shopping,0
amazon,2
don,0
phone,1
item,0
service,0
helpful thank,2
time,2
easy,2
want,1
items,1
things,1
don,1
amazon,1
page,0
new,0
fix,1
need,1
prime,2
live easy,2
time,1
prices,2
time,0
time,2
service,2
shopping,2
order,1
want,0
shopping,1
search,0
just,1
use,2
update,0
orders,1
update,0
prime,0
time,2
app,0
need,2
prime,2
orders,1
need cheaper,2
easy,2
like,0
use,0
keeps,0
shopping,2
products,1
app,0
need,2
order,1
time,1
service,0
amazon,1
ve,0
don,0
add tamara,2
delivery,2
page,1
just,0
like,0
great,1
day,1
time,0
don,0
delivery,2
prime,2
need,2
shopping,0
items,0
delivery,1
phone,2
want,0
delivery,0
amazon,1
service,0
update,0
shopping amazon,2
order,0
order,0
days,0
amazon,1
order,2
like,2
use,0
order,0
app,0
make,1
order,0
want,0
service,2
great,2
love,2
prime,2
want,0
don,2
app,0
delivery,1
like,0
items,2
like,0
account,0
want,0
orders,0
use,1
love don went,0
way,1
love,2
purchase issues returns,2
use,0
just,0
update,0
amazon,1
order,1
address pain suddenly,2
time,0
things,1
love,2
use,0
page,0
use,0
products,2
little expensive,2
want,1
prime,1
order,0
prime,0
shopping,1
just,0
just,0
just,2
search,1
shopping,1
shopping,2
items,2
good,1
just,1
amazon,1
service,0
amazon,2
amazon,1
plastenian citizens,0
just,2
want,1
order,1
update,1
don,2
mode enabled amazon,1
want,1
use,0
good,2
don,0
update,1
need,2
don,0
order,0
things,2
shop,2
time,0
days,0
don,0
card,0
good,2
just,2
way,1
want,2
gift,0
shopping,0
change,1
like,0
prime,1
love amazon,2
orders,1
like,2
prime,0
really,2
good,1
amazon,0
things,1
good,1
fix,1
shop,2
time,1
great,2
days,0
phone,0
change items information,2
amazon,1
like,1
orders,0
amazon,1
time,1
delivery,2
just,1
like,0
want,2
like,0
like,2
item,0
shop,2
just,2
need,1
phone,0
gotten things time,2
good,2
really,2
like,0
amazon,1
phone,0
good,1
need,2
like,0
order,2
order,1
don,2
like,0
time,2
want,2
change,1
account,1
app,0
items,1
amazon,0
phone,0
just,0
fake,0
need,1
delivery,0
account,0
just,2
make,1
things,2
easy,2
shopping,1
want,1
phone,2
prime,2
item,0
customer,0
days,0
item,0
day,1
account,0
app,1
fix,1
time,1
use,1
love,2
day,1
change,1
time,2
change,1
freeze new,0
just,1
orders,0
s23 plus,0
items,1
app,2
delivery,0
great,2
search,0
time,0
use,0
update,0
use,0
time,1
shop,2
card,0
prime,1
prime,1
amazon,1
don,0
prices,2
prime,0
delivery,2
ve,0
phone,0
item,0
orders,0
problems package getting,2
app,2
fix,1
shopping,2
prime,1
items,1
customer,2
easy,2
shopping,0
phone,0
service,0
want,0
order,0
shop,2
products,2
prime,2
love,2
delivery,2
buy,2
love amazon,2
time,2
need,2
just,1
time,2
want,0
amazon,2
need,2
shopping,0
like,2
just,1
items,0
app,1
great,1
orders,1
update,0
orders,1
prices fault app,2
app,2
use,1
need,1
prices,2
items,1
great,2
money,0
app,1
customer,0
delivery,1
orders,1
prime,1
delivery,1
things,2
prime,2
return timelines great,2
fix,1
phone,1
just,2
update,0
items,0
order,1
love amazon,2
prime,0
items,0
delivery,0
use,2
time,0
delivery,2
order,0
shop,2
page,0
app,0
order,1
just,0
just,1
thing sane,2
fix,1
order,0
update,1
products,1
account,1
fix,1
items,1
love amazon,2
really,2
fix,0
like,1
shopping,2
use,1
items,2
want,0
update,1
like,0
customer,0
like,2
money,0
like,1
app,1
time,0
don,0
card,0
app great app,2
easy,2
shopping,1
time,2
want,0
going good enjoy,2
good,1
amazon,0
fix,0
customer,0
orders,1
account,0
search,1
shopping,1
phone,1
time,1
don,1
phone,0
time,2
purchases satisfied,1
order,1
time,1
item,0
products,2
keeps,0
great delivery service,2
service,2
prime,0
don,1
keeps,0
day,1
fix,0
use,1
having hard time,2
keeps,0
like,1
page,0
great,2
update,0
delivery,2
like,2
amazon,0
morrisons integration reliable,2
delivery,2
change,1
buy,1
ll acrl,2
account,1
ve,0
page,1
just,1
service,2
day,1
prime,1
good,2
easy,2
prime,2
great,2
item,0
want,2
fix,0
don,0
phone,0
just,0
shopping,0
amazon,1
amazon,0
prices,2
prime,0
use,0
like,0
prime,2
shopping,0
prices,2
delivery,2
keeps,0
good,2
amazon,1
amazon,1
items,2
page,1
use,1
idea place screen,1
really,2
need,1
app,2
keeps,0
use,0
need,1
love amazon,2
customer,2
doesn work app,2
orders,0
page,1
account,1
fix,1
fix,1
customer,0
days,0
shopping,2
good,1
great,2
favorite,2
amazon,2
buy,2
shopping,2
delivery,2
customer,0
delivery,2
like,2
service,2
need,1
items,1
great,2
day,1
prime,1
update,0
items,1
items,1
time,2
money,0
prime,2
don,0
use,2
change,1
items,2
items,0
shopping,0
prime,1
great,2
prime,2
amazon,0
just,1
account,1
account,1
schooder help,2
use,0
search,0
amazon,1
time,2
prime,0
like,0
service,0
order,0
delivery,0
amazon,2
day,1
really,2
like,1
items,0
really,2
items,1
service,0
app,1
oppression,0
delivery,0
delivery,2
service,0
orders,0
time,0
item,0
need,2
really,2
phone,0
time,2
orders,0
ve,0
items,2
palestine amazon supporting,0
shopping amazon,2
search,0
want,1
shopping,2
lokk,2
don,2
order,0
prime,0
update,0
shopping,2
fix,0
shop best,2
make,1
service,2
orders,0
time,1
don,0
shopping,2
search,0
don,2
app,2
need,1
easy,2
account,0
order,1
prime,0
use,0
need,2
like,0
items,1
order,0
orders,0
easy,2
good,1
sure haven used,1
don,0
shopping,1
delivery,1
really,2
really,2
need,1
time,1
don,2
make,1
app,0
orders,1
day,1
love,2
just,0
change,1
like,2
make,1
don,1
ve,0
just,2
did just remove,0
use,1
ve,0
need,2
really,1
shopping,0
order,2
want,1
fix,1
issues team,2
need,2
days,0
time,2
update,0
prime,0
want,0
account,1
prime,1
time,2
fix,0
item,0
order,1
items,1
want,2
shopping,2
customer,0
delivery,1
use,1
like,0
shipping shopping,2
app,1
order,2
like,2
delivery,0
update,0
money,0
products,2
prime,2
account,0
need,1
love,2
keeps,0
account,0
orders,0
item,0
items,2
products,1
ve,0
really,1
easy,2
great,1
used work,0
update,1
amazon,2
phone,0
prime,2
got orders just,0
messed delivery,2
love amazon,2
ve,0
use,0
like,0
app,1
supporting dark goid,1
just,0
don,2
customer,2
shopping,0
just,0
good,2
app,0
items,1
app haven used,2
android slow reason,0
amazon,2
items,0
buy,2
really,2
shopping,1
app,1
account,1
good,1
customer,0
delivery,2
update,1
delivery,1
just,0
use,1
great,2
don,0
really,2
delivery,0
update,0
app,2
don,2
products,1
search,1
don,0
prime,2
products,2
service,0
easy shopping great,2
prime,1
account,1
phone,2
just,0
spammed miss deliveries,0
fix,1
prime,0
customer,0
want,0
update,1
order,2
things,2
items,1
change,1
shopping,1
prices,2
don,0
service,0
things,2
search,0
change,1
great,1
just,1
simplified love im,2
products,1
ve,0
want hear music,1
want,0
prices,2
just,2
good,2
seeing statement 1st,1
service,0
customer,0
use,2
somethings ok,2
don,1
orders,0
buy,2
delivery,1
order,0
love amazon,2
phone,0
order,1
orders,1
want,2
love amazon,2
like,1
update,0
want,0
want,1
great,1
account stupidest mistake,2
delivery,0
just,1
visuals browsing products,0
want,1
update,0
phone,1
items,0
account,1
great,1
love,2
page,0
time,0
longer supports tablets,0
delivery,2
amazon,0
shopping cart difficult,1
shopping,0
change,1
fix,0
keeps,0
customer,0
slow times unsurprisingly,1
use,1
order,2
great,2
fix,1
delivery,1
bit,2
search,0
app,0
great,1
update compatible,2
prime,2
ve,0
app,0
like,0
phone,0
order,0
search,1
love amazon,2
amazon,0
day,1
service,0
use,1
orders,1
orders,0
fix,1
great,1
day,1
don,0
update,0
easy,2
items shipped usps,2
prime,0
shopping,0
don,2
inmthis bow amtb,2
shopping,1
just,1
prime,0
don,1
phone,2
update,0
good,2
update,1
like,1
update,0
just,1
don,0
items,0
just,0
time,1
love,2
fix,1
amazon,0
delivery,2
usually better price,2
search,1
use,2
just,0
successful pinnings,1
music,1
need,2
need,2
world,2
easy,2
app,1
orders,0
good,2
looked,2
time,1
slow pretty,1
don,2
want,0
prime,1
phone,0
time,1
good,1
orders,0
just,0
don,1
page,1
just,0
use,0
orders,0
order,0
use,0
want need got,2
delivery,1
use,2
update,1
use,0
buy,1
amazon,2
search,0
need,1
service,0
time,2
item,0
like,1
shopping,2
great,2
good really bad,1
order,1
easy,2
update,1
use,0
phone,2
view orders need,0
phone,0
time,1
good,1
like,0
time,0
customer,0
order,2
fix,0
order,2
products,1
phone,1
make,1
fix,1
phone,0
app,2
phone,0
search,0
need,1
just,1
update,0
easy,2
app,0
phone,0
really,2
just,1
time,2
phone,0
good,2
items,0
amazon,2
delivery,1
good,1
time,2
shopping,2
phone,0
search,0
app,0
prime,2
like,0
shopping,1
don,2
use,1
just,1
want,1
update,1
service,2
app,2
till,1
time,2
order,1
quebec,0
don,1
prices,2
just,1
items,1
new,0
great customer service,2
fake,0
navigation bad,2
customer,0
app,1
time,2
great,1
app,1
delivery,1
money,0
make customizable,0
sad vfdgsnu ssss,1
like,2
slow,1
want,2
ve,0
just,1
need,2
app,2
ve,0
app,2
customer,2
order,0
orders,1
need,2
just,1
use,2
prices,2
freezes way,0
shopping,0
prime,0
shopping,2
need,1
bad,0
just,2
account,0
good,1
great,1
update,1
update,1
shopping amazon,2
love gets slower,2
view poor,1
like,1
like,0
search,0
app,1
order,2
need,1
app,0
mode setting,1
time,1
orders,1
don,1
don,0
app,1
use,1
need,1
time,0
items,2
don,2
customer,2
search,1
order,1
place best place,2
amazon,2
delivery,2
usually better price,2
really,2
time,0
app,0
idea place,1
keeps,0
shopping,0
ve,0
satisfied,2
update,1
just,1
prime,0
change,1
amazon,1
order,0
ve,0
use,0
day,1
love,2
page,1
amazon,1
buy,2
things,1
amazon,1
buy,2
like,1
service,0
change,1
just,1
shopping,0
time,1
need,2
app,1
great,2
delivery,0
app,2
need,1
philippine haven,1
money,0
search,1
great,2
amazon,0
having option dark,2
amazon,2
shopping amazon,2
keeps,0
order,1
orders,0
app,0
shopping easy great,2
prime,1
items,1
really,2
like,0
way,1
app,0
allow update recent,0
price want easy,2
page,0
prices,2
like,2
don,1
really,2
order,1
make,1
orders,1
prime,2
shop,2
time,0
great,2
delivery,0
want,2
app,0
time,0
want,0
time,0
like,0
delivery,1
app,1
use,1
like,1
just,0
day,1
use,0
use,2
orders,1
amazon,2
orders,0
like,0
good,1
good,1
love amazon,2
service,0
prime,0
love,2
results doesn,1
page,0
service,0
use,0
phone,0
prime,0
items,0
don,0
prices,2
easy use day,2
good bargains fast,2
phone,0
amazon,0
orders,0
shop,2
prime,0
ve,0
ve,0
shop,2
want,1
fix,1
orders,1
retired checking,2
just,1
search,1
items anymore,0
account,0
service,0
just,2
app,0
just,0
time,0
usually awesome,1
use,0
delivery,2
don,0
don,2
really,2
days,0
prime,2
items,2
page,1
items,0
just,2
keeps,0
customer,2
service,0
just,1
love amazon,2
countries anymore,0
like,2
shopping,0
good,2
shopping,2
days,0
use,2
use,0
delivery,1
need,1
items,1
great,2
prices,2
app,0
service,2
fix,1
items,0
need,2
prime,0
keeps,0
time,2
easy,2
want,1
item,0
shopping,2
good,2
products,1
time,1
delivery,0
like,1
app,0
prime,0
great,1
great,2
use,1
time,1
packaging good great,2
buy,2
orders,1
time,1
phone,0
shopping,2
delivery,2
good,2
orders,1
update,0
orders,0
inse,2
easy,2
use,1
page,1
account,0
don,0
things,2
items,0
time,0
phone,0
search,0
shipping fast,2
use amazon nepal,2
use,0
really,2
make,1
account,1
items,1
just,0
good,1
page,1
amazon,1
products,1
fix,0
app,0
great,1
use,2
phone,1
prime,1
app,0
time,2
app,2
phone,2
just think right,2
shopping,2
orders,1
high,0
keeps,0
page,1
keeps,0
want,0
product pretty fast,2
delivery,1
